wardpc,wardname,province,district,alt_name,districtpc,provincepc,integrity
130912,12,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
130914,14,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
120721,21,Mashonaland Central,Shamva,,1207,12,Old ward
130915,15,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
130601,1,Mashonaland East,Murehwa,,1306,13,Old ward
122110,10,Mashonaland Central,Bindura Urban,,1221,12,Boundary adjusted
122109,9,Mashonaland Central,Bindura Urban,,1221,12,Old ward
130602,2,Mashonaland East,Murehwa,,1306,13,Old ward
130908,8,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
130907,7,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
130909,9,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
130906,6,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
120513,13,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120514,14,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120520,20,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120406,6,Mashonaland Central,Mazowe,,1204,12,Old ward
120407,7,Mashonaland Central,Mazowe,,1204,12,Old ward
120529,29,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120527,27,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120524,24,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120526,26,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120525,25,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120528,28,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120521,21,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120523,23,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120516,16,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120213,13,Mashonaland Central,Centenary,,1202,12,Boundary adjusted
120214,14,Mashonaland Central,Centenary,,1202,12,Boundary adjusted
120539,39,Mashonaland Central,Mount Darwin,,1205,12,New ward
120228,28,Mashonaland Central,Centenary,,1202,12,New ward
120401,1,Mashonaland Central,Mazowe,,1204,12,Old ward
120403,3,Mashonaland Central,Mazowe,,1204,12,Old ward
120402,2,Mashonaland Central,Mazowe,,1204,12,Old ward
120222,22,Mashonaland Central,Centenary,,1202,12,Old ward
122108,8,Mashonaland Central,Bindura Urban,,1221,12,Old ward
120416,16,Mashonaland Central,Mazowe,,1204,12,Boundary adjusted
120703,3,Mashonaland Central,Shamva,,1207,12,Old ward
120702,2,Mashonaland Central,Shamva,,1207,12,Old ward
120704,4,Mashonaland Central,Shamva,,1207,12,Boundary adjusted
120540,40,Mashonaland Central,Mount Darwin,,1205,12,New ward
120404,4,Mashonaland Central,Mazowe,,1204,12,Old ward
120405,5,Mashonaland Central,Mazowe,,1204,12,Old ward
120705,5,Mashonaland Central,Shamva,,1207,12,Old ward
120701,1,Mashonaland Central,Shamva,,1207,12,Old ward
120725,25,Mashonaland Central,Shamva,,1207,12,New ward
120102,2,Mashonaland Central,Bindura,,1201,12,Boundary adjusted
